Construct,Failure Count
10.641,194
10.693,227
10.921,109
10.1473,2
376.13,5
410.1,10
410.2,8
410.5,8
410.7,2
410.9,6
410.10,8
410.13,1
410.14,8
410.15,7
410.16,8
410.18,3
410.19,8
410.21,8
410.22,8
410.23,3
410.24,8
410.26,1
410.27,6
410.33,5
410.34,8
410.35,5
410.36,3
410.37,4
410.38,1
410.39,7
410.40,4
410.41,5
410.42,3
410.43,4
410.44,8
410.45,4
410.46,8
410.47,7
410.48,5
410.49,8
410.50,5
410.51,8
410.52,6
410.53,3
410.54,6
410.55,8
410.56,2
410.57,4
410.58,5
410.59,6
410.60,5
410.61,4
410.63,7
410.64,6
410.65,3
410.66,1
410.67,5
410.68,3
410.69,8
410.70,2
410.71,2
410.72,2
410.73,4
410.74,4
410.75,10
410.76,11
410.77,8
410.78,8
410.79,7
410.80,2
410.81,3
410.82,2
410.83,8
410.84,4
410.85,2
410.86,3
410.88,8
410.89,5
410.90,7
410.91,1
410.92,6
410.93,3
410.94,1
410.95,2
410.96,5
497.32,1
497.440,1
500.2,6
500.3,7
500.4,5
500.5,12
500.6,7
500.7,7
500.8,10
500.9,12
500.10,9
500.11,5
500.12,4
500.13,5
500.14,5
500.15,3
500.16,10
500.17,10
500.18,3
500.19,5
500.20,7
500.21,9
500.22,5
500.23,3
500.24,9
500.25,8
500.26,6
500.27,4
500.28,6
500.29,4
500.30,4
500.31,7
500.32,7
500.33,6
500.34,7
500.35,3
500.36,12
500.37,9
500.38,4
500.39,5
500.40,7
500.41,6
500.42,3
500.43,3
500.44,4
500.45,2
500.46,4
500.47,3
500.48,5
500.49,6
500.50,3
500.51,6
500.52,5
500.53,4
500.54,4
500.55,2
500.56,4
500.57,4
500.58,10
500.59,12
500.60,11
500.61,10
500.62,8
500.63,7
500.64,6
500.65,12
500.66,7
500.67,6
500.68,11
500.69,6
500.70,4
500.71,5
500.72,4
500.73,7
500.74,4
500.75,5
500.76,7
500.77,5
500.78,5
500.79,11
500.80,7
500.81,9
500.82,7
500.83,6
500.84,7
500.85,8
500.86,4
500.87,8
500.88,5
500.89,7
500.90,6
500.91,7
500.92,8
500.93,1
500.94,3
500.95,7
500.96,10
500.97,3
500.98,5
500.99,2
500.100,8
500.101,8
500.102,1
500.103,3
500.104,4
500.105,3
500.106,4
500.107,6
500.108,7
500.109,5
500.110,4
500.111,7
500.112,6
500.113,3
500.114,5
500.115,6
500.116,5
500.117,7
500.118,6
500.119,6
500.120,6
500.121,6
500.122,6
500.123,1
500.124,6
500.125,4
500.126,5
500.127,5
500.128,5
500.129,3
500.130,6
500.131,3
500.132,4
500.133,5
500.134,5
500.135,3
500.136,5
500.137,4
500.138,1
500.139,5
500.140,4
500.141,6
500.142,6
500.143,5
500.144,5
500.145,8
500.146,7
500.147,1
500.148,4
500.149,6
500.150,6
500.151,5
500.152,4
500.153,3
500.154,4
500.155,2
500.156,5
500.157,4
500.158,4
500.159,6
500.160,2
500.161,3
500.162,6
500.163,3
500.164,5
500.165,7
500.166,6
500.167,4
500.168,6
500.169,5
500.170,2
500.171,2
500.172,4
500.173,8
500.174,6
500.175,7
500.176,3
500.177,8
500.178,4
500.179,4
500.180,4
500.181,8
500.182,4
500.183,5
500.184,2
500.185,8
500.186,3
500.187,4
500.188,2
500.189,8
500.190,1
500.191,1
500.192,5
500.193,3
500.194,7
500.195,4
500.196,5
500.197,5
500.198,3
500.199,3
500.200,4
500.201,4
500.202,3
500.203,7
500.204,3
500.205,3
500.206,4
500.207,3
500.208,4
500.209,4
500.210,3
500.211,1
500.212,5
500.213,7
500.214,3
500.215,3
500.216,2
500.217,4
500.218,4
500.219,1
500.220,5
500.221,1
500.222,3
500.223,3
500.224,5
500.225,4
500.226,6
500.227,6
500.228,5
500.229,8
500.230,8
500.231,7
500.232,4
500.233,8
500.234,4
500.235,6
500.236,6
500.237,6
500.238,7
500.239,8
500.240,8
500.241,8
500.242,6
500.243,3
500.244,5
500.245,5
500.246,6
500.247,7
500.248,8
500.249,7
500.250,5
500.251,4
500.252,8
500.253,8
500.254,6
500.255,4
500.256,6
500.257,8
500.258,7
500.259,6
500.260,4
500.261,4
500.262,4
500.263,5
500.264,4
500.265,4
500.266,5
500.267,5
500.268,5
500.269,4
500.270,6
500.271,5
500.272,5
500.273,4
500.274,4
500.275,6
500.276,3
500.277,4
500.278,3
500.279,7
500.280,4
500.281,4
500.282,8
500.283,5
500.284,8
500.285,7
500.286,5
500.287,5
500.288,6
500.289,7
500.290,8
500.291,6
500.292,5
500.293,5
500.294,4
500.295,8
500.296,5
500.297,6
500.298,8
500.299,7
500.300,4
500.301,4
500.302,4
500.303,5
500.304,8
500.305,8
500.306,1
500.307,2
500.310,5
500.312,4
500.313,3
500.318,2
500.319,3
500.322,3
500.324,1
500.327,1
500.328,4
500.329,1
500.331,1
500.333,17
500.334,1
500.336,1
500.338,1
500.340,3
500.342,5
500.343,2
500.344,5
500.345,3
500.346,5
500.347,4
500.348,2
500.349,7
500.350,3
500.351,8
500.352,2
500.353,5
500.354,3
500.355,1
500.356,3
500.357,2
500.358,5
500.359,4
500.360,1
500.361,4
500.362,4
500.363,2
500.364,4
500.365,5
500.366,4
500.367,4
500.368,6
500.369,4
500.370,2
500.371,3
500.372,5
500.373,1
500.374,5
500.377,1
500.393,1
500.394,1
500.411,1
500.413,1
500.417,1
500.424,1
500.430,1
500.445,1
500.456,24
500.464,1
500.550,1
500.556,1
500.558,1
500.569,1
500.570,1
500.571,1
500.574,1
500.575,1
500.588,12
500.619,1
500.625,1
500.631,1
500.639,1
500.640,4
500.647,1
500.653,4
500.654,1
500.655,1
500.656,1
500.658,2
500.661,1
500.662,1
500.669,3
500.670,2
500.671,3
500.677,2
500.682,4
500.686,1
500.692,1
500.693,1
500.700,1
500.701,1
500.707,4
500.713,4
500.717,1
500.719,4
500.725,1
500.726,1
514.1722,1
515.4,1
538.1,11
538.2,17
538.3,5
TE only,15
TE-Only,4
TE-only,40
TEOnly,41
none,21
